id_morceau,nom_morceau,groupe
1,Team-oriented didactic structure,5
2,Multi-channelled high-level architecture,8
3,Multi-lateral radical hub,9
4,Synchronised 24 hour focus group,4
5,Business-focused local leverage,10
6,Function-based national Graphic Interface,7
7,Realigned optimal system engine,3
8,Face to face modular extranet,5
9,Compatible 4th generation core,10
10,Multi-channelled fresh-thinking challenge,3
11,Optional non-volatile capacity,8
12,Reactive discrete capability,2
13,Customer-focused intangible standardization,6
14,Team-oriented contextually-based parallelism,3
15,Organic maximized policy,1
16,Re-engineered modular benchmark,6
17,Customizable clear-thinking solution,7
18,Public-key multimedia service-desk,9
19,Horizontal disintermediate toolset,2
20,Profit-focused client-driven structure,7
21,Sharable bi-directional middleware,8
22,Virtual dynamic support,6
23,Ameliorated multi-tasking intranet,4
24,Down-sized global superstructure,10
25,Fundamental logistical project,1
26,User-friendly mobile hardware,10
27,Self-enabling web-enabled array,3
28,Enterprise-wide motivating projection,10
29,Organic user-facing protocol,1
30,Decentralized heuristic extranet,5
31,Virtual clear-thinking productivity,1
32,Public-key 4th generation interface,4
33,Distributed multi-state moratorium,9
34,Intuitive dedicated challenge,5
35,Stand-alone incremental software,7
36,Quality-focused composite circuit,6
37,Reactive cohesive extranet,1
38,Function-based static approach,6
39,Front-line logistical implementation,3
40,Function-based bi-directional process improvement,1
41,Proactive stable toolset,8
42,Switchable tertiary attitude,4
43,Networked uniform workforce,3
44,Managed logistical moderator,6
45,Realigned clear-thinking process improvement,2
46,Operative actuating groupware,2
47,Customer-focused system-worthy process improvement,5
48,Decentralized stable solution,3
49,User-centric dedicated synergy,4
50,Fully-configurable upward-trending product,5
51,Robust homogeneous utilisation,3
52,Profound demand-driven support,8
53,Pre-emptive 24 hour attitude,2
54,Balanced even-keeled strategy,4
55,Quality-focused mobile utilisation,2
56,Exclusive 6th generation help-desk,4
57,Enterprise-wide systematic info-mediaries,7
58,Function-based neutral hub,6
59,Stand-alone local intranet,9
60,Pre-emptive interactive firmware,10
61,Managed coherent attitude,3
62,Synergized transitional toolset,2
63,Virtual content-based internet solution,6
64,Grass-roots demand-driven protocol,2
65,Decentralized discrete functionalities,4
66,Fundamental disintermediate array,7
67,Persistent directional internet solution,5
68,Multi-layered asynchronous internet solution,4
69,Up-sized high-level approach,5
70,Organized holistic neural-net,2
71,Mandatory demand-driven concept,3
72,Down-sized secondary hardware,5
73,Optimized exuding Graphic Interface,10
74,Profit-focused demand-driven complexity,8
75,Multi-channelled analyzing knowledge user,1
76,Distributed object-oriented access,4
77,Enterprise-wide impactful customer loyalty,7
78,Mandatory directional product,1
79,Customizable leading edge local area network,3
80,Multi-lateral systematic hub,1
